ticker,company,issuer,spot,predicted,date_posted
341,大家樂 (00341),星展唯高達,,17.3,30/6/2011 17:11
923,福和集團 (00923),花旗,4,3.7,30/6/2011 16:11
2319,蒙牛乳業 (02319),瑞信,28,30,30/6/2011 16:10
590,六福集團 (00590),瑞信,35,45,30/6/2011 14:51
1101,中國熔盛重工 (01101),摩根大通,9.6,7.2,30/6/2011 14:37
2007,碧桂園 (02007),美銀美林,4.15,4.6,30/6/2011 11:04
178,莎莎國際 (00178),大福證券,,6.29,30/6/2010 09:59
178,莎莎國際 (00178),中銀國際,,6.58,30/6/2010 18:20
2308,富士康 (02308),大摩,,4,30/6/2010 17:43
341,大家樂 (00341),星展唯高達,,19,30/6/2010 17:39
1688,阿里巴巴 (01688),星展唯高達,,14.3,30/6/2010 16:49
